persentase_kehadiran,rata_rata_nilai,tren_nilai,jumlah_mapel_di_bawah_kkm,status_kip,jarak_rumah_km,jumlah_pelanggaran,pekerjaan_ortu,pendidikan_ortu,jumlah_saudara,putus_sekolah,sumber,id_siswa,nama,kelas,angkatan
66.7,100.0,-10.0,2,0,2.3,0,0,2,1,1,UCI_Dropout,STU0041,Prabu,XII TKJ 1,2021
100.0,100.0,10.0,0,0,3.4,0,2,2,2,0,UCI_Dropout,STU0042,Raka,XII TKJ 2,2021
71.4,100.0,5.2,2,0,1.0,0,0,1,2,0,UCI_Dropout,STU0043,Sinta,XII RPL 1,2021
66.7,100.0,10.0,2,0,0.5,0,1,1,6,1,UCI_Dropout,STU0044,Taufik,XII RPL 2,2021
0.0,0.0,0.0,5,0,6.0,0,2,4,3,1,UCI_Dropout,STU0045,Uci,XII AKL 1,2021
40.0,100.0,10.0,3,0,4.2,1,1,4,2,0,UCI_Dropout,STU0046,Vera,X TKJ 1,2023
100.0,100.0,10.0,0,0,1.9,0,2,4,0,0,UCI_Dropout,STU0047,Wulan,X TKJ 2,2023
85.7,100.0,3.2,1,1,3.7,0,2,4,1,0,UCI_Dropout,STU0048,Yanto,X RPL 1,2023
100.0,100.0,10.0,0,1,0.5,0,2,1,2,0,UCI_Dropout,STU0049,Zaki,X RPL 2,2023
83.3,100.0,6.2,1,1,0.9,0,2,4,3,0,UCI_Dropout,STU0050,Aldi,X AKL 1,2023
100.0,100.0,6.2,0,1,2.2,0,2,4,2,0,UCI_Dropout,STU0051,Bening,XI TKJ 1,2022
75.0,100.0,0.0,2,1,7.5,0,2,4,1,0,UCI_Dropout,STU0052,Cakra,XI TKJ 2,2022
66.7,100.0,-10.0,2,1,14.0,0,2,1,4,0,UCI_Dropout,STU0053,Darma,XI RPL 1,2022
100.0,100.0,10.0,0,0,0.9,0,2,4,3,0,UCI_Dropout,STU0054,Elang,XI RPL 2,2022
100.0,100.0,5.0,0,0,1.8,0,2,4,3,1,UCI_Dropout,STU0055,Fitri,XI AKL 1,2022
100.0,100.0,6.9,0,0,12.7,0,1,1,2,0,UCI_Dropout,STU0056,Gilang,XII TKJ 1,2021
0.0,0.0,0.0,6,0,0.5,0,1,1,1,1,UCI_Dropout,STU0057,Haris,XII TKJ 2,2021
83.3,100.0,-1.2,1,0,1.1,0,0,2,5,1,UCI_Dropout,STU0058,Ika,XII RPL 1,2021
100.0,100.0,0.0,0,0,1.0,0,2,4,0,0,UCI_Dropout,STU0059,Janur,XII RPL 2,2021
0.0,0.0,0.0,0,0,2.0,0,2,4,4,0,UCI_Dropout,STU0060,Kamil,XII AKL 1,2021
85.7,100.0,-10.0,1,0,0.5,0,2,4,1,0,UCI_Dropout,STU0061,Lira,X TKJ 1,2023
100.0,100.0,0.0,0,1,2.7,0,2,4,5,0,UCI_Dropout,STU0062,Melda,X TKJ 2,2023
0.0,0.0,0.0,0,1,8.8,0,2,1,2,0,UCI_Dropout,STU0063,Naim,X RPL 1,2023
83.3,100.0,-10.0,1,0,2.2,0,1,1,3,0,UCI_Dropout,STU0064,Omar2,X RPL 2,2023
0.0,0.0,0.0,6,0,3.0,0,1,1,5,0,UCI_Dropout,STU0065,Pertiwi,X AKL 1,2023
71.4,100.0,-10.0,2,0,3.9,0,1,1,1,1,UCI_Dropout,STU0066,Rafi,XI TKJ 1,2022
0.0,0.0,0.0,0,1,1.0,0,1,4,3,0,UCI_Dropout,STU0067,Salsa,XI TKJ 2,2022
100.0,100.0,-1.8,0,0,8.1,0,2,4,1,0,UCI_Dropout,STU0068,Titis,XI RPL 1,2022
100.0,100.0,-5.6,0,0,1.7,3,2,1,3,1,UCI_Dropout,STU0069,Umam,XI RPL 2,2022
100.0,100.0,-10.0,0,0,3.2,0,2,4,0,0,UCI_Dropout,STU0070,Vino,XI AKL 1,2022
0.0,0.0,0.0,5,0,2.7,0,1,4,4,0,UCI_Dropout,STU0071,Winda,XII TKJ 1,2021
100.0,100.0,10.0,0,0,1.9,0,1,4,1,0,UCI_Dropout,STU0072,Yudha,XII TKJ 2,2021
0.0,0.0,0.0,0,0,1.0,0,2,4,3,1,UCI_Dropout,STU0073,Zara,XII RPL 1,2021
50.0,100.0,4.2,3,0,8.4,0,2,4,2,1,UCI_Dropout,STU0074,Arya,XII RPL 2,2021
100.0,100.0,0.0,0,0,6.1,0,2,4,2,0,UCI_Dropout,STU0075,Bella,XII AKL 1,2021
60.0,100.0,6.5,2,0,6.5,0,2,4,5,1,UCI_Dropout,STU0076,Candra,X TKJ 1,2023
66.7,100.0,6.2,2,1,7.4,0,2,4,7,1,UCI_Dropout,STU0077,Danu,X TKJ 2,2023
100.0,100.0,-4.2,0,1,1.0,0,2,1,5,0,UCI_Dropout,STU0078,Ervina,X RPL 1,2023
100.0,100.0,2.7,0,1,0.7,0,2,4,4,0,UCI_Dropout,STU0079,Faris,X RPL 2,2023
100.0,100.0,-4.2,0,0,0.5,0,2,4,4,0,UCI_Dropout,STU0080,Gina,X AKL 1,2023
83.3,100.0,0.0,1,0,9.9,0,2,4,2,1,UCI_Dropout,STU0081,Huda,XI TKJ 1,2022
0.0,0.0,0.0,1,0,4.9,1,0,2,4,1,UCI_Dropout,STU0082,Irvan,XI TKJ 2,2022
50.0,100.0,10.0,6,0,2.7,0,0,2,3,1,UCI_Dropout,STU0083,Joko2,XI RPL 1,2022
100.0,100.0,-8.3,0,0,0.5,0,1,4,1,0,UCI_Dropout,STU0084,Kartini,XI RPL 2,2022
100.0,100.0,0.0,0,0,1.9,0,2,4,2,0,UCI_Dropout,STU0085,Lestari2,XI AKL 1,2022
87.5,100.0,0.0,1,1,2.0,0,2,4,6,0,UCI_Dropout,STU0086,Manuel,XII TKJ 1,2021
80.0,100.0,10.0,1,1,0.5,0,1,1,4,0,UCI_Dropout,STU0087,Nisa,XII TKJ 2,2021
100.0,100.0,6.7,0,0,5.1,1,0,4,1,0,UCI_Dropout,STU0088,Oscar,XII RPL 1,2021
80.0,100.0,-2.5,1,0,10.9,0,2,4,2,0,UCI_Dropout,STU0089,Putri2,XII RPL 2,2021
40.0,100.0,-10.0,3,0,3.2,0,2,4,0,0,UCI_Dropout,STU0090,Rahma,XII AKL 1,2021
0.0,0.0,0.0,7,0,1.6,0,2,1,1,1,UCI_Dropout,STU0091,Adi,X TKJ 1,2023
100.0,100.0,-6.2,0,0,6.2,0,2,4,3,0,UCI_Dropout,STU0092,Budi2,X TKJ 2,2023
33.3,100.0,-10.0,4,0,1.5,1,1,1,2,1,UCI_Dropout,STU0093,Citra2,X RPL 1,2023
50.0,100.0,-10.0,3,0,4.5,1,0,4,4,1,UCI_Dropout,STU0094,Dewi2,X RPL 2,2023
100.0,100.0,5.7,0,0,0.5,0,2,4,3,0,UCI_Dropout,STU0095,Eka2,X AKL 1,2023
100.0,100.0,-9.4,0,0,3.4,0,0,4,3,0,UCI_Dropout,STU0096,Fajar2,XI TKJ 1,2022
100.0,100.0,-4.2,0,0,3.7,0,1,4,6,0,UCI_Dropout,STU0097,Gita2,XI TKJ 2,2022
100.0,100.0,9.1,0,1,2.8,0,2,4,2,0,UCI_Dropout,STU0098,Hadi2,XI RPL 1,2022
100.0,100.0,-5.0,0,0,1.0,2,0,1,6,0,UCI_Dropout,STU0099,Indah2,XI RPL 2,2022
57.1,100.0,-10.0,3,0,1.0,0,0,2,1,1,UCI_Dropout,STU0100,Joko3,XI AKL 1,2022
80.0,100.0,6.6,2,0,3.3,0,2,4,4,1,UCI_Dropout,STU0101,Andi B,XII TKJ 1,2021
0.0,0.0,0.0,0,0,5.1,0,2,1,1,0,UCI_Dropout,STU0102,Budi B,XII TKJ 2,2021
0.0,0.0,0.0,6,0,1.9,0,1,4,4,1,UCI_Dropout,STU0103,Citra B,XII RPL 1,2021
100.0,100.0,-5.0,0,0,4.9,1,2,4,4,0,UCI_Dropout,STU0104,Dewi B,XII RPL 2,2021
0.0,0.0,0.0,6,0,11.9,0,2,4,4,1,UCI_Dropout,STU0105,Eka B,XII AKL 1,2021
100.0,100.0,-9.1,0,0,0.5,0,2,2,1,0,UCI_Dropout,STU0106,Fajar B,X TKJ 1,2023
0.0,0.0,0.0,6,0,2.6,0,2,4,4,1,UCI_Dropout,STU0107,Gita B,X TKJ 2,2023
66.7,100.0,-10.0,2,0,7.0,0,1,1,4,1,UCI_Dropout,STU0108,Hadi B,X RPL 1,2023
85.7,100.0,-10.0,1,0,1.3,0,1,2,1,1,UCI_Dropout,STU0109,Indah B,X RPL 2,2023
85.7,100.0,10.0,1,0,1.0,0,1,4,2,0,UCI_Dropout,STU0110,Joko B,X AKL 1,2023
100.0,100.0,10.0,0,0,1.7,0,2,4,2,0,UCI_Dropout,STU0111,Kartika B,XI TKJ 1,2022
60.0,100.0,-10.0,2,1,1.0,0,2,1,2,0,UCI_Dropout,STU0112,Lukman B,XI TKJ 2,2022
100.0,100.0,-7.5,0,0,13.3,0,2,4,4,0,UCI_Dropout,STU0113,Maya B,XI RPL 1,2022
100.0,100.0,-1.2,0,0,8.3,0,2,1,0,0,UCI_Dropout,STU0114,Nanda B,XI RPL 2,2022
85.7,100.0,0.0,1,0,5.0,2,2,4,2,1,UCI_Dropout,STU0115,Omar B,XI AKL 1,2022
85.7,100.0,10.0,1,0,0.5,0,1,4,2,0,UCI_Dropout,STU0116,Putri B,XII TKJ 1,2021
33.3,100.0,9.4,4,1,8.1,0,2,4,3,0,UCI_Dropout,STU0117,Rizky B,XII TKJ 2,2021
60.0,100.0,4.2,2,0,1.5,0,1,4,2,0,UCI_Dropout,STU0118,Sari B,XII RPL 1,2021
100.0,100.0,-10.0,0,0,0.5,2,2,4,0,0,UCI_Dropout,STU0119,Tono B,XII RPL 2,2021
100.0,100.0,10.0,0,0,0.7,0,1,1,3,0,UCI_Dropout,STU0120,Ulya B,XII AKL 1,2021
50.0,100.0,0.0,3,0,8.2,0,1,1,5,1,UCI_Dropout,STU0121,Vina B,X TKJ 1,2023
100.0,100.0,5.6,0,0,11.3,2,2,4,4,0,UCI_Dropout,STU0122,Wahyu B,X TKJ 2,2023
0.0,0.0,0.0,0,0,0.5,0,2,2,4,1,UCI_Dropout,STU0123,Xena B,X RPL 1,2023
100.0,100.0,10.0,0,1,2.1,0,2,4,3,0,UCI_Dropout,STU0124,Yoga B,X RPL 2,2023
100.0,100.0,-10.0,0,0,1.3,0,2,4,2,0,UCI_Dropout,STU0125,Zahra B,X AKL 1,2023
71.4,100.0,-10.0,2,0,2.8,0,1,1,2,1,UCI_Dropout,STU0126,Agus B,XI TKJ 1,2022
100.0,100.0,-4.9,0,0,8.5,0,2,4,2,0,UCI_Dropout,STU0127,Bayu B,XI TKJ 2,2022
83.3,100.0,7.5,1,1,9.9,0,1,4,2,0,UCI_Dropout,STU0128,Cahaya B,XI RPL 1,2022
100.0,100.0,8.3,0,0,1.0,0,1,1,4,0,UCI_Dropout,STU0129,Dimas B,XI RPL 2,2022
100.0,100.0,10.0,0,0,3.6,0,2,1,3,0,UCI_Dropout,STU0130,Elin B,XI AKL 1,2022
100.0,100.0,6.3,0,1,2.7,0,2,4,3,1,UCI_Dropout,STU0131,Fadil B,XII TKJ 1,2021
100.0,100.0,8.3,0,0,1.3,0,2,4,5,0,UCI_Dropout,STU0132,Glen B,XII TKJ 2,2021
100.0,100.0,10.0,0,0,1.0,0,2,1,3,0,UCI_Dropout,STU0133,Hana B,XII RPL 1,2021
71.4,100.0,-10.0,2,0,2.1,0,1,1,5,1,UCI_Dropout,STU0134,Irfan B,XII RPL 2,2021
100.0,100.0,0.6,0,0,5.4,0,2,4,5,0,UCI_Dropout,STU0135,Jasmine B,XII AKL 1,2021
83.3,100.0,6.2,1,1,10.0,0,2,1,2,1,UCI_Dropout,STU0136,Koko B,X TKJ 1,2023
80.0,100.0,-8.7,1,0,3.7,0,1,4,0,0,UCI_Dropout,STU0137,Lestari B,X TKJ 2,2023
100.0,100.0,0.0,0,1,0.7,0,2,1,4,0,UCI_Dropout,STU0138,Mitra B,X RPL 1,2023
71.4,100.0,-3.7,2,1,4.2,0,2,4,3,0,UCI_Dropout,STU0139,Nopal B,X RPL 2,2023
100.0,100.0,5.8,0,0,0.5,0,2,4,2,0,UCI_Dropout,STU0140,Olivia B,X AKL 1,2023
85.7,100.0,0.0,1,0,16.4,0,2,4,4,0,UCI_Dropout,STU0141,Prabu B,XI TKJ 1,2022
100.0,100.0,-8.3,0,1,1.5,0,1,4,0,0,UCI_Dropout,STU0142,Raka B,XI TKJ 2,2022
0.0,0.0,0.0,5,0,3.4,0,1,2,1,0,UCI_Dropout,STU0143,Sinta B,XI RPL 1,2022
100.0,100.0,2.1,0,1,1.8,0,2,1,2,0,UCI_Dropout,STU0144,Taufik B,XI RPL 2,2022
100.0,100.0,-10.0,0,1,1.7,0,2,4,2,0,UCI_Dropout,STU0145,Uci B,XI AKL 1,2022
83.3,100.0,-10.0,1,1,1.0,0,2,4,2,0,UCI_Dropout,STU0146,Vera B,XII TKJ 1,2021
0.0,0.0,0.0,5,0,4.7,0,2,4,4,1,UCI_Dropout,STU0147,Wulan B,XII TKJ 2,2021
83.3,100.0,5.8,1,0,3.5,0,2,1,5,1,UCI_Dropout,STU0148,Yanto B,XII RPL 1,2021
100.0,100.0,9.9,0,0,0.5,0,2,2,0,0,UCI_Dropout,STU0149,Zaki B,XII RPL 2,2021
85.7,100.0,3.9,1,1,2.8,0,2,1,0,0,UCI_Dropout,STU0150,Aldi B,XII AKL 1,2021
0.0,0.0,0.0,0,0,11.9,0,2,2,2,0,UCI_Dropout,STU0151,Bening B,X TKJ 1,2023
100.0,100.0,10.0,0,0,0.7,0,2,1,3,0,UCI_Dropout,STU0152,Cakra B,X TKJ 2,2023
50.0,100.0,-10.0,3,0,1.0,0,2,4,1,0,UCI_Dropout,STU0153,Darma B,X RPL 1,2023
100.0,100.0,-10.0,0,0,3.4,0,2,4,2,0,UCI_Dropout,STU0154,Elang B,X RPL 2,2023
50.0,100.0,-10.0,3,0,21.2,0,1,2,1,1,UCI_Dropout,STU0155,Fitri B,X AKL 1,2023
100.0,100.0,-6.2,0,0,2.1,0,2,4,2,1,UCI_Dropout,STU0156,Gilang B,XI TKJ 1,2022
100.0,100.0,10.0,0,1,5.5,0,2,4,1,0,UCI_Dropout,STU0157,Haris B,XI TKJ 2,2022
100.0,100.0,-4.9,0,1,7.2,0,2,1,3,0,UCI_Dropout,STU0158,Ika B,XI RPL 1,2022
66.7,100.0,10.0,2,0,1.4,0,2,4,6,0,UCI_Dropout,STU0159,Janur B,XI RPL 2,2022
83.3,100.0,10.0,1,1,2.9,0,2,1,4,0,UCI_Dropout,STU0160,Kamil B,XI AKL 1,2022
100.0,100.0,-2.1,0,0,2.4,0,0,4,2,1,UCI_Dropout,STU0161,Lira B,XII TKJ 1,2021
100.0,100.0,-1.2,0,1,5.0,0,2,4,2,0,UCI_Dropout,STU0162,Melda B,XII TKJ 2,2021
100.0,100.0,5.5,0,0,5.0,0,2,4,0,0,UCI_Dropout,STU0163,Naim B,XII RPL 1,2021
66.7,100.0,-6.2,2,0,3.8,0,1,4,2,1,UCI_Dropout,STU0164,Omar2 B,XII RPL 2,2021
100.0,100.0,0.0,0,0,2.2,0,1,1,2,0,UCI_Dropout,STU0165,Pertiwi B,XII AKL 1,2021
100.0,100.0,6.2,0,1,2.6,0,2,4,0,0,UCI_Dropout,STU0166,Rafi B,X TKJ 1,2023
0.0,0.0,0.0,1,0,1.7,0,2,1,3,0,UCI_Dropout,STU0167,Salsa B,X TKJ 2,2023
83.3,100.0,-8.3,1,0,0.5,0,2,4,2,0,UCI_Dropout,STU0168,Titis B,X RPL 1,2023
87.5,100.0,0.0,1,0,1.4,0,0,1,2,0,UCI_Dropout,STU0169,Umam B,X RPL 2,2023
50.0,100.0,-8.3,3,0,4.5,0,2,4,3,1,UCI_Dropout,STU0170,Vino B,X AKL 1,2023
80.0,100.0,-9.4,1,0,5.7,1,2,4,1,0,UCI_Dropout,STU0171,Winda B,XI TKJ 1,2022
100.0,100.0,10.0,0,0,2.1,0,2,4,7,0,UCI_Dropout,STU0172,Yudha B,XI TKJ 2,2022
85.7,100.0,0.0,1,0,3.6,0,1,1,3,0,UCI_Dropout,STU0173,Zara B,XI RPL 1,2022
50.0,100.0,4.2,3,0,0.5,0,2,4,5,0,UCI_Dropout,STU0174,Arya B,XI RPL 2,2022
66.7,100.0,10.0,2,0,5.2,0,2,4,1,1,UCI_Dropout,STU0175,Bella B,XI AKL 1,2022
60.0,100.0,10.0,2,1,1.0,0,2,4,4,0,UCI_Dropout,STU0176,Candra B,XII TKJ 1,2021
83.3,100.0,-10.0,1,0,0.5,0,1,4,1,0,UCI_Dropout,STU0177,Danu B,XII TKJ 2,2021
57.1,100.0,0.0,3,0,2.4,0,2,4,2,1,UCI_Dropout,STU0178,Ervina B,XII RPL 1,2021
83.3,100.0,-10.0,1,0,13.8,0,1,4,1,1,UCI_Dropout,STU0179,Faris B,XII RPL 2,2021
85.7,100.0,2.9,1,0,0.9,0,1,1,3,1,UCI_Dropout,STU0180,Gina B,XII AKL 1,2021
100.0,100.0,2.1,0,0,2.1,0,1,2,3,0,UCI_Dropout,STU0181,Huda B,X TKJ 1,2023
100.0,100.0,6.2,0,1,4.5,1,2,4,4,0,UCI_Dropout,STU0182,Irvan B,X TKJ 2,2023
83.3,100.0,-10.0,1,0,3.7,0,1,4,2,1,UCI_Dropout,STU0183,Joko2 B,X RPL 1,2023
100.0,100.0,-10.0,0,0,10.5,0,1,1,2,1,UCI_Dropout,STU0184,Kartini B,X RPL 2,2023
0.0,0.0,0.0,6,0,6.3,0,2,1,3,1,UCI_Dropout,STU0185,Lestari2 B,X AKL 1,2023
60.0,100.0,7.1,2,0,5.4,0,2,2,3,1,UCI_Dropout,STU0186,Manuel B,XI TKJ 1,2022
80.0,100.0,-10.0,2,0,0.8,0,2,1,3,0,UCI_Dropout,STU0187,Nisa B,XI TKJ 2,2022
85.7,100.0,0.0,1,1,4.1,0,1,4,2,0,UCI_Dropout,STU0188,Oscar B,XI RPL 1,2022
33.3,100.0,-10.0,4,0,3.8,0,2,1,2,1,UCI_Dropout,STU0189,Putri2 B,XI RPL 2,2022
100.0,100.0,6.2,0,0,1.4,0,0,1,4,0,UCI_Dropout,STU0190,Rahma B,XI AKL 1,2022
100.0,100.0,6.2,0,1,0.6,0,2,4,2,0,UCI_Dropout,STU0191,Adi B,XII TKJ 1,2021
33.3,100.0,0.0,4,0,0.8,0,1,1,2,0,UCI_Dropout,STU0192,Budi2 B,XII TKJ 2,2021
0.0,0.0,0.0,5,0,11.5,0,1,4,2,1,UCI_Dropout,STU0193,Citra2 B,XII RPL 1,2021
0.0,0.0,0.0,6,0,4.2,0,2,1,1,1,UCI_Dropout,STU0194,Dewi2 B,XII RPL 2,2021
87.5,100.0,0.0,1,0,2.1,0,2,4,0,0,UCI_Dropout,STU0195,Eka2 B,XII AKL 1,2021
0.0,0.0,0.0,5,0,2.1,0,1,4,2,1,UCI_Dropout,STU0196,Fajar2 B,X TKJ 1,2023
100.0,100.0,0.0,0,0,6.5,0,1,4,5,0,UCI_Dropout,STU0197,Gita2 B,X TKJ 2,2023
0.0,0.0,0.0,5,0,2.9,0,0,2,4,1,UCI_Dropout,STU0198,Hadi2 B,X RPL 1,2023
100.0,100.0,10.0,0,0,0.5,0,2,4,3,0,UCI_Dropout,STU0199,Indah2 B,X RPL 2,2023
100.0,100.0,-6.0,0,0,2.3,0,2,1,5,0,UCI_Dropout,STU0200,Joko3 B,X AKL 1,2023
80.0,100.0,7.3,1,0,5.1,2,2,1,0,0,UCI_Dropout,STU0201,Andi C,XI TKJ 1,2022
100.0,100.0,2.1,0,0,1.0,0,0,4,0,0,UCI_Dropout,STU0202,Budi C,XI TKJ 2,2022
87.5,100.0,0.0,1,0,1.0,0,2,4,3,0,UCI_Dropout,STU0203,Citra C,XI RPL 1,2022
100.0,100.0,-5.7,0,0,1.4,0,2,4,0,0,UCI_Dropout,STU0204,Dewi C,XI RPL 2,2022
83.3,100.0,1.3,1,1,2.1,0,2,4,1,0,UCI_Dropout,STU0205,Eka C,XI AKL 1,2022
66.7,100.0,-3.1,2,0,1.0,0,0,4,1,0,UCI_Dropout,STU0206,Fajar C,XII TKJ 1,2021
87.5,100.0,0.0,1,0,1.0,0,2,4,3,0,UCI_Dropout,STU0207,Gita C,XII TKJ 2,2021
100.0,100.0,4.2,0,1,5.4,0,1,2,3,0,UCI_Dropout,STU0208,Hadi C,XII RPL 1,2021
100.0,100.0,-5.7,0,0,1.0,0,2,4,2,0,UCI_Dropout,STU0209,Indah C,XII RPL 2,2021
100.0,100.0,-10.0,0,1,4.0,0,1,2,2,1,UCI_Dropout,STU0210,Joko C,XII AKL 1,2021
87.5,100.0,0.0,1,1,4.0,0,1,4,2,0,UCI_Dropout,STU0211,Kartika C,X TKJ 1,2023
85.7,100.0,0.0,1,1,6.1,0,2,4,0,0,UCI_Dropout,STU0212,Lukman C,X TKJ 2,2023
100.0,100.0,2.9,0,1,5.3,0,0,1,2,0,UCI_Dropout,STU0213,Maya C,X RPL 1,2023
0.0,0.0,0.0,5,1,2.2,0,2,4,4,1,UCI_Dropout,STU0214,Nanda C,X RPL 2,2023
100.0,100.0,3.6,0,0,2.8,0,1,1,4,0,UCI_Dropout,STU0215,Omar C,X AKL 1,2023
85.7,100.0,10.0,1,0,3.3,0,1,1,5,0,UCI_Dropout,STU0216,Putri C,XI TKJ 1,2022
100.0,100.0,0.0,0,1,2.0,0,1,4,1,0,UCI_Dropout,STU0217,Rizky C,XI TKJ 2,2022
16.7,100.0,-10.0,5,0,6.9,6,2,4,3,1,UCI_Dropout,STU0218,Sari C,XI RPL 1,2022
16.7,100.0,-10.0,5,1,3.9,0,1,1,2,1,UCI_Dropout,STU0219,Tono C,XI RPL 2,2022
0.0,0.0,10.0,5,0,0.5,1,1,4,1,1,UCI_Dropout,STU0220,Ulya C,XI AKL 1,2022
80.0,100.0,-8.3,1,1,2.4,0,2,4,1,0,UCI_Dropout,STU0221,Vina C,XII TKJ 1,2021
100.0,100.0,10.0,0,1,2.7,0,2,4,2,0,UCI_Dropout,STU0222,Wahyu C,XII TKJ 2,2021
66.7,100.0,10.0,2,0,1.0,0,1,1,1,1,UCI_Dropout,STU0223,Xena C,XII RPL 1,2021
71.4,100.0,-10.0,2,1,0.6,0,2,4,1,0,UCI_Dropout,STU0224,Yoga C,XII RPL 2,2021
85.7,100.0,10.0,1,1,1.5,0,1,1,2,0,UCI_Dropout,STU0225,Zahra C,XII AKL 1,2021
100.0,100.0,5.8,0,0,0.5,0,1,4,1,0,UCI_Dropout,STU0226,Agus C,X TKJ 1,2023
